feature,importance
depth,2017.1404651058765
letter_ratio,702.6208155141794
num_siblings,647.4576963844229
text_length,544.5264688942116
parent_tag,495.7524606436491
has_class,438.5509197162464
whitespace_ratio,409.25235461851116
digit_ratio,360.11329640962504
tag,246.60044859349728
word_count,230.52947896893602
contains_time,163.46951246261597
same_parent_as_next,43.127934919670224
same_parent_as_prev,38.45273050596006
next_contains_time,13.917729422450066
prev_contains_date,11.790030973032117
prev_contains_time,9.52230442687869
contains_date,2.591245224699378
starts_with_digit,2.2423654226586223
next_contains_date,0.9611869864165783
ends_with_digit,0.9237849712371826
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
