feature,importance
parent_tag,1631.2819164022803
depth,1587.9218073020756
num_siblings,635.2167049947457
letter_ratio,471.20591365679866
text_length,418.93285599736555
whitespace_ratio,350.93870068159595
contains_time,264.8120327889919
tag,236.85321049392223
word_count,211.7121491371072
digit_ratio,132.84674095455557
has_class,114.32468770630658
same_parent_as_next,29.283859112643768
same_parent_as_prev,26.35852324659936
ends_with_digit,20.1710567176342
prev_contains_date,14.53843723074533
contains_date,8.880109533667564
next_contains_time,6.910980269312859
next_contains_date,6.548636304680258
starts_with_digit,5.891383595764637
prev_contains_time,2.1204860880970955
text_has_word_date,0.0
attr_has_word_time,0.0
attr_has_word_date,0.0
has_id,0.0
attr_has_word_location,0.0
text_word_time,0.0
text_word_location,0.0
